onset	duration	trial_type	word	stim_file	word_index	sentence_id	position_in_sentence	segment	is_lexical	log_freq	log_freq_prev	log_freq_next	word_length	sound_power	ngram_surprisal	rnn_surprisal	cfg_surprisal
1.764000	0.562721	word	Alice	DownTheRabbitHoleFinal_SoundFile1.wav	1	1	1	1	1	8.650000	0.000000	14.560000	0.562721	0.000000	3.226499	3.126175	2.312348
2.282000	0.267822	word	was	DownTheRabbitHoleFinal_SoundFile1.wav	2	1	2	1	0	14.560000	8.650000	10.690000	0.267822	0.000000	0.905229	1.691128	1.357460
2.504000	0.518386	word	beginning	DownTheRabbitHoleFinal_SoundFile1.wav	3	1	3	1	1	10.690000	14.560000	16.350000	0.518386	0.000000	4.446766	4.100771	5.626722
2.976000	0.141996	word	to	DownTheRabbitHoleFinal_SoundFile1.wav	4	1	4	1	0	16.350000	10.690000	13.790000	0.141996	0.000000	2.537495	3.833313	5.939201
3.072000	0.309402	word	get	DownTheRabbitHoleFinal_SoundFile1.wav	5	1	5	1	0	13.790000	16.350000	13.280000	0.309402	0.000000	1.023137	1.013076	2.697304
3.336000	0.740422	word	very	DownTheRabbitHoleFinal_SoundFile1.wav	6	1	6	1	1	13.280000	13.790000	9.860000	0.740422	0.000000	4.259243	4.461274	4.745532
4.030000	0.535169	word	tired	DownTheRabbitHoleFinal_SoundFile1.wav	7	1	7	1	1	9.860000	13.280000	16.210000	0.535169	0.000000	2.649141	3.489757	4.749652
4.518000	0.184794	word	of	DownTheRabbitHoleFinal_SoundFile1.wav	8	1	8	1	0	16.210000	9.860000	10.080000	0.184794	0.000000	1.835435	2.677027	2.749432
4.658000	0.411778	word	sitting	DownTheRabbitHoleFinal_SoundFile1.wav	9	1	9	1	1	10.080000	16.210000	14.400000	0.411778	0.000000	3.898681	5.246072	3.542125
5.024000	0.225592	word	by	DownTheRabbitHoleFinal_SoundFile1.wav	10	1	10	1	0	14.400000	10.080000	13.300000	0.225592	0.000000	2.460874	2.439413	4.556459
5.204000	0.216514	word	her	DownTheRabbitHoleFinal_SoundFile1.wav	11	1	11	1	0	13.300000	14.400000	9.750000	0.216514	0.000000	3.099475	3.724663	7.337090
5.374000	0.498071	word	sister	DownTheRabbitHoleFinal_SoundFile1.wav	12	1	12	1	1	9.750000	13.300000	15.080000	0.498071	0.000000	0.644823	0.510962	4.784661
5.826000	0.213619	word	on	DownTheRabbitHoleFinal_SoundFile1.wav	13	1	13	1	0	15.080000	9.750000	16.960000	0.213619	0.000000	2.822782	2.088793	2.113474
5.994000	0.170513	word	the	DownTheRabbitHoleFinal_SoundFile1.wav	14	1	14	1	0	16.960000	15.080000	12.880000	0.170513	0.000000	1.551038	1.617728	4.756523
6.118000	0.433162	word	bank	DownTheRabbitHoleFinal_SoundFile1.wav	15	1	15	1	1	12.880000	16.960000	16.190000	0.433162	0.000000	0.824340	0.834124	3.912380
6.504000	0.168883	word	and	DownTheRabbitHoleFinal_SoundFile1.wav	16	1	16	1	0	16.190000	12.880000	16.210000	0.168883	0.000000	3.148749	2.808465	8.766531
6.628000	0.171485	word	of	DownTheRabbitHoleFinal_SoundFile1.wav	17	1	17	1	0	16.210000	16.190000	12.030000	0.171485	0.000000	3.817726	4.385983	2.523327
6.754000	0.447318	word	having	DownTheRabbitHoleFinal_SoundFile1.wav	18	1	18	1	1	12.030000	16.210000	11.990000	0.447318	0.000000	3.586420	5.111372	3.862724
7.154000	0.500966	word	nothing	DownTheRabbitHoleFinal_SoundFile1.wav	19	1	19	1	1	11.990000	12.030000	16.350000	0.500966	0.000000	4.642029	4.075084	3.827824
7.610000	0.206693	word	to	DownTheRabbitHoleFinal_SoundFile1.wav	20	1	20	1	0	16.350000	11.990000	14.120000	0.206693	0.000000	5.451483	4.696513	3.220382
7.770000	0.388164	word	do	DownTheRabbitHoleFinal_SoundFile1.wav	21	1	21	1	1	14.120000	16.350000	12.150000	0.388164	0.000000	0.661957	0.747471	2.219616
8.866000	0.278431	word	once	DownTheRabbitHoleFinal_SoundFile1.wav	22	2	1	1	1	12.150000	14.120000	14.780000	0.278431	0.000000	4.259243	4.340029	4.013906
9.100000	0.165314	word	or	DownTheRabbitHoleFinal_SoundFile1.wav	23	2	2	1	0	14.780000	12.150000	10.740000	0.165314	0.000000	4.415241	4.103663	8.339421
9.218000	0.504425	word	twice	DownTheRabbitHoleFinal_SoundFile1.wav	24	2	3	1	1	10.740000	14.780000	13.100000	0.504425	0.000000	1.875913	3.579937	3.510604
9.676000	0.349300	word	she	DownTheRabbitHoleFinal_SoundFile1.wav	25	2	4	1	0	13.100000	10.740000	13.530000	0.349300	0.000000	2.205315	3.360415	1.687010
9.980000	0.343551	word	peeped	DownTheRabbitHoleFinal_SoundFile1.wav	27	2	5	1	1	6.480000	13.530000	13.240000	0.343551	0.000000	3.654885	3.855039	3.989716
10.280000	0.261510	word	into	DownTheRabbitHoleFinal_SoundFile1.wav	28	2	6	1	0	13.240000	6.480000	16.960000	0.261510	0.000000	1.938249	2.231433	4.304196
10.496000	0.153755	word	the	DownTheRabbitHoleFinal_SoundFile1.wav	29	2	7	1	0	16.960000	13.240000	12.160000	0.153755	0.000000	1.393761	1.179505	3.883794
10.602000	0.393211	word	book	DownTheRabbitHoleFinal_SoundFile1.wav	30	2	8	1	1	12.160000	16.960000	13.300000	0.393211	0.000000	0.824340	0.826050	4.402728
10.950000	0.129809	word	her	DownTheRabbitHoleFinal_SoundFile1.wav	31	2	9	1	0	13.300000	12.160000	9.750000	0.129809	0.000000	8.422284	7.757932	7.681337
11.034000	0.441102	word	sister	DownTheRabbitHoleFinal_SoundFile1.wav	32	2	10	1	1	9.750000	13.300000	14.560000	0.441102	0.000000	0.416480	0.497411	3.417530
11.428000	0.297429	word	was	DownTheRabbitHoleFinal_SoundFile1.wav	33	2	11	1	0	14.560000	9.750000	11.540000	0.297429	0.000000	3.237820	2.986597	1.919236
11.680000	0.500966	word	reading	DownTheRabbitHoleFinal_SoundFile1.wav	34	2	12	1	1	11.540000	14.560000	14.570000	0.500966	0.000000	3.645285	3.793898	4.676619
12.530000	0.161518	word	but	DownTheRabbitHoleFinal_SoundFile1.wav	35	2	13	1	0	14.570000	11.540000	15.370000	0.161518	0.000000	4.181344	4.644046	8.917348
12.646000	0.134019	word	it	DownTheRabbitHoleFinal_SoundFile1.wav	36	2	14	1	0	15.370000	14.570000	13.530000	0.134019	0.000000	3.043345	2.359865	1.709410
12.734000	0.321374	word	had	DownTheRabbitHoleFinal_SoundFile1.wav	37	2	15	1	0	13.530000	15.370000	13.960000	0.321374	0.000000	0.980686	1.766234	1.468346
13.010000	0.177701	word	no	DownTheRabbitHoleFinal_SoundFile1.wav	38	2	16	1	0	13.960000	13.530000	10.460000	0.177701	0.000000	2.991921	2.675752	4.306048
13.142000	0.552408	word	pictures	DownTheRabbitHoleFinal_SoundFile1.wav	39	2	17	1	1	10.460000	13.960000	14.780000	0.552408	0.000000	5.255191	4.479636	5.430815
13.648000	0.151003	word	or	DownTheRabbitHoleFinal_SoundFile1.wav	40	2	18	1	0	14.780000	10.460000	8.440000	0.151003	0.000000	3.658539	3.265280	8.659312
13.752000	0.895471	word	conversations	DownTheRabbitHoleFinal_SoundFile1.wav	41	2	19	1	1	8.440000	14.780000	15.900000	0.895471	0.000000	1.987503	5.864180	5.079724
14.602000	0.176559	word	in	DownTheRabbitHoleFinal_SoundFile1.wav	42	2	20	1	0	15.900000	8.440000	15.370000	0.176559	0.000000	2.323373	2.711737	2.196947
14.732000	0.247256	word	it	DownTheRabbitHoleFinal_SoundFile1.wav	43	2	21	1	0	15.370000	15.900000	16.190000	0.247256	0.000000	2.230924	2.019348	1.684899
15.496000	0.212255	word	and	DownTheRabbitHoleFinal_SoundFile1.wav	44	2	22	1	0	16.190000	15.370000	14.100000	0.212255	0.000000	3.973425	4.785309	8.738637
