onset	duration	trial_type	word	stim_file	word_index	sentence_id	position_in_sentence	segment	is_lexical	log_freq	log_freq_prev	log_freq_next	sound_power	ngram_surprisal	rnn_surprisal	cfg_surprisal
71.336	0.212777	word	what	DownTheRabbitHoleFinal_SoundFile1.wav	45	2	23	1	0	14.1	16.19	15.68	3.56e-09	7.307112353	6.171358021	4.56162285
71.504	0.162148	word	s	DownTheRabbitHoleFinal_SoundFile1.wav	46	2	24	1	0	15.68	14.1	16.96	3.94e-09	0.779051933	4.874016337	3.825143428
71.62	0.22616	word	the	DownTheRabbitHoleFinal_SoundFile1.wav	47	2	25	1	0	16.96	15.68	13.43	4.29e-09	1.955639001	2.45861997	4.111168498
71.8	0.365519	word	use	DownTheRabbitHoleFinal_SoundFile1.wav	48	2	26	1	1	13.43	16.96	16.21	4.02e-09	0.941321477	1.202239854	3.651082168
72.12	0.141782	word	of	DownTheRabbitHoleFinal_SoundFile1.wav	49	2	27	1	0	16.21	13.43	16.18	3.63e-09	1.877723178	2.010191737	2.15584151
72.216	0.257802	word	a	DownTheRabbitHoleFinal_SoundFile1.wav	50	2	28	1	0	16.18	16.21	12.16	3.95e-09	1.551038125	1.51137357	3.783790563
72.428	0.442679	word	book	DownTheRabbitHoleFinal_SoundFile1.wav	51	2	29	1	1	12.16	16.18	12.07	3.84e-09	0.824339779	0.84927324	3.239260615
72.824	0.462419	word	thought	DownTheRabbitHoleFinal_SoundFile1.wav	52	3	1	1	1	12.07	12.16	8.65	3.69e-09	6.377570434	6.929198313	3.414764953
73.24	0.431012	word	Alice	DownTheRabbitHoleFinal_SoundFile1.wav	53	3	2	1	1	8.65	12.07	12.45	3.52e-09	5.814071771	5.095413153	3.441557711
73.626	0.381427	word	without	DownTheRabbitHoleFinal_SoundFile1.wav	54	3	3	1	0	12.45	8.65	10.46	3.61e-09	1.795419087	3.325288725	2.282073324
73.96	0.587502	word	pictures	DownTheRabbitHoleFinal_SoundFile1.wav	55	3	4	1	1	10.46	12.45	14.78	3.51e-09	6.167259166	4.999120801	4.737181173
74.502	0.203505	word	or	DownTheRabbitHoleFinal_SoundFile1.wav	56	3	5	1	0	14.78	10.46	8.44	3.83e-09	2.389715345	3.287260904	8.682440359
74.66	1.055197	word	conversation	DownTheRabbitHoleFinal_SoundFile1.wav	57	3	6	1	1	8.44	14.78	14.05	3.84e-09	1.987502935	5.828035688	4.53449027
76.92	0.241422	word	So	DownTheRabbitHoleFinal_SoundFile1.wav	58	4	1	1	0	14.05	8.44	13.1	3.7e-09	3.941534123	4.799170057	4.244906395
77.114	0.250173	word	she	DownTheRabbitHoleFinal_SoundFile1.wav	59	4	2	1	0	13.1	14.05	14.56	3.78e-09	1.407434495	1.558385728	0.329808417
77.32	0.294019	word	was	DownTheRabbitHoleFinal_SoundFile1.wav	60	4	3	1	0	14.56	13.1	10.29	1.46e-08	1.219911654	1.380404552	1.287041419
77.568	0.800286	word	considering	DownTheRabbitHoleFinal_SoundFile1.wav	61	4	4	1	1	10.29	14.56	15.9	0.012323	3.802444994	3.806685955	5.501232222
78.322	0.141782	word	in	DownTheRabbitHoleFinal_SoundFile1.wav	62	4	5	1	0	15.9	10.29	13.3	0.00017013	1.933425268	2.078576588	5.023745557
78.418	0.291434	word	her	DownTheRabbitHoleFinal_SoundFile1.wav	63	4	6	1	0	13.3	15.9	12.56	0.012918	3.09947518	3.789882093	7.62903759
78.662	0.279478	word	own	DownTheRabbitHoleFinal_SoundFile1.wav	64	4	7	1	0	12.56	13.3	11.78	0.0017603	3.476231655	3.98461913	4.586451799
78.896	0.417156	word	mind	DownTheRabbitHoleFinal_SoundFile1.wav	65	4	8	1	1	11.78	12.56	14.79	0.0060602	0.601837035	0.801817402	4.315029851
79.558	0.293987	word	as	DownTheRabbitHoleFinal_SoundFile1.wav	66	4	9	1	0	14.79	11.78	13.22	0.014015	4.20964694	4.585672019	3.150811401
79.806	0.274187	word	well	DownTheRabbitHoleFinal_SoundFile1.wav	67	4	10	1	0	13.22	14.79	14.79	0.0015584	2.948975228	2.922925375	3.602696961
80.034	0.141078	word	as	DownTheRabbitHoleFinal_SoundFile1.wav	68	4	11	1	n/a	14.79	13.22	13.1	0.006255	1.917284019	3.041963366	3.504291429
80.13	0.237564	word	she	DownTheRabbitHoleFinal_SoundFile1.wav	69	4	12	1	0	13.1	14.79	13.21	0.0058643	1.66344885	1.841941404	2.019423033
80.32	0.500966	word	could	DownTheRabbitHoleFinal_SoundFile1.wav	70	4	13	1	0	13.21	13.1	15.42	5.3e-05	3.150307324	3.084353608	4.069019877
80.776	0.177263	word	for	DownTheRabbitHoleFinal_SoundFile1.wav	71	4	14	1	0	15.42	13.21	16.96	0.015868	5.97488631	5.128347588	3.160378917
80.908	0.130248	word	the	DownTheRabbitHoleFinal_SoundFile1.wav	72	4	15	1	0	16.96	15.42	10.85	0.0081857	1.602773833	1.447128375	4.748859484
80.992	0.345319	word	hot	DownTheRabbitHoleFinal_SoundFile1.wav	73	4	16	1	1	10.85	16.96	12.38	0.020678	2.414520182	2.499490879	4.457872599
81.29	0.309402	word	day	DownTheRabbitHoleFinal_SoundFile1.wav	74	4	17	1	1	12.38	10.85	12.51	0.001269	0.515633001	0.805001185	4.138032689
81.554	0.249537	word	made	DownTheRabbitHoleFinal_SoundFile1.wav	75	4	18	1	1	12.51	12.38	13.3	0.0035437	3.256944538	3.275195942	1.604564564
81.758	0.164633	word	her	DownTheRabbitHoleFinal_SoundFile1.wav	76	4	19	1	0	13.3	12.51	12	0.0016983	4.967212642	4.034876672	1.999610731
81.876	0.298524	word	feel	DownTheRabbitHoleFinal_SoundFile1.wav	77	4	20	1	1	12	13.3	13.28	0.0082253	3.667342178	2.578881104	2.379690535
82.128	0.369265	word	very	DownTheRabbitHoleFinal_SoundFile1.wav	78	4	21	1	1	13.28	12	7.09	1.32e-05	2.290951101	2.322470578	3.710820522
82.452	0.528141	word	sleepy	DownTheRabbitHoleFinal_SoundFile1.wav	79	4	22	1	1	7.09	13.28	16.19	0.0010982	3.112952242	3.599543388	4.837428395
82.934	0.185605	word	and	DownTheRabbitHoleFinal_SoundFile1.wav	80	4	23	1	0	16.19	7.09	10.72	0.005671	3.085978186	4.279476223	8.852300061
83.074	0.657451	word	stupid	DownTheRabbitHoleFinal_SoundFile1.wav	81	4	24	1	1	10.72	16.19	11.63	1.19e-05	2.290951101	4.606050886	4.842486368
84.272	0.309401	word	whether	DownTheRabbitHoleFinal_SoundFile1.wav	82	4	25	1	0	11.63	10.72	16.96	9.07e-07	2.130727865	3.19676635	2.452163686
84.536	0.217849	word	the	DownTheRabbitHoleFinal_SoundFile1.wav	83	4	26	1	0	16.96	11.63	9.73	3.02e-06	2.050686008	1.677212869	4.673725742
84.708	0.508709	word	pleasure	DownTheRabbitHoleFinal_SoundFile1.wav	84	4	27	1	1	9.73	16.96	16.21	0.0026486	0.824339779	0.805339212	4.322545249
85.17	0.153755	word	of	DownTheRabbitHoleFinal_SoundFile1.wav	85	4	28	1	0	16.21	9.73	11.69	0.009104	1.877723178	2.130644788	2.129905449
85.278	0.417157	word	making	DownTheRabbitHoleFinal_SoundFile1.wav	86	4	29	1	1	11.69	16.21	16.18	0.0035731	4.029100148	4.565501855	3.664783189
85.648	0.166563	word	a	DownTheRabbitHoleFinal_SoundFile1.wav	87	4	30	1	0	16.18	11.69	7.19	2.81e-06	2.975447673	2.839601548	4.427021227
85.77	0.488158	word	daisy	DownTheRabbitHoleFinal_SoundFile1.wav	88	4	31	1	1	7.19	16.18	10.06	0.0081461	0.82456567	1.111766563	4.382480212
86.212	0.417156	word	chain	DownTheRabbitHoleFinal_SoundFile1.wav	89	4	32	1	1	10.06	7.19	14.06	0.0010658	0	0	0
86.69	0.225592	word	would	DownTheRabbitHoleFinal_SoundFile1.wav	90	4	33	1	0	14.06	10.06	14.95	0.0018934	6.470684078	6.883958954	4.352428549
86.87	0.177701	word	be	DownTheRabbitHoleFinal_SoundFile1.wav	91	4	34	1	0	14.95	14.06	11.31	0.0060536	0.345397474	0.90164324	2.819021371
87.002	0.309401	word	worth	DownTheRabbitHoleFinal_SoundFile1.wav	92	4	35	1	1	11.31	14.95	16.96	6.62e-05	4.393748195	4.958743558	4.900641713
87.266	0.132941	word	the	DownTheRabbitHoleFinal_SoundFile1.wav	93	4	36	1	0	16.96	11.31	10.81	0.0017416	4.576786433	5.037035452	4.682053596
87.352	0.45158	word	trouble	DownTheRabbitHoleFinal_SoundFile1.wav	94	4	37	1	1	10.81	16.96	16.21	0.0006692	2.060336209	0.799792954	4.419825829
87.758	0.140146	word	of	DownTheRabbitHoleFinal_SoundFile1.wav	95	4	38	1	0	16.21	10.81	11.99	0.00055254	1.877723178	2.020470092	2.133733399
87.852	0.428028	word	getting	DownTheRabbitHoleFinal_SoundFile1.wav	96	4	39	1	1	11.99	16.21	13.74	1.02e-06	4.029100148	4.490910891	3.613912013
88.234	0.226693	word	up	DownTheRabbitHoleFinal_SoundFile1.wav	97	4	40	1	0	13.74	11.99	16.19	0.00011781	3.975451009	5.431393306	6.5228967
88.414	0.201625	word	and	DownTheRabbitHoleFinal_SoundFile1.wav	98	4	41	1	0	16.19	13.74	9.07	0.00049451	3.416470169	3.586288427	8.646739583
88.57	0.381259	word	picking	DownTheRabbitHoleFinal_SoundFile1.wav	99	4	42	1	1	9.07	16.19	16.96	0.0034241	3.00144176	5.318147421	3.406074896
88.906	0.120575	word	the	DownTheRabbitHoleFinal_SoundFile1.wav	100	4	43	1	0	16.96	9.07	5.7	5.8e-05	4.467827191	3.227607696	4.455572794
88.98	0.713738	word	daisies	DownTheRabbitHoleFinal_SoundFile1.wav	101	4	44	1	1	5.7	16.96	13.76	0.013625	3.384214247	3.9117038	5.412210033
90.226	0.248374	word	when	DownTheRabbitHoleFinal_SoundFile1.wav	102	5	1	1	0	13.76	5.7	9.96	0.00074419	7.001229214	6.544628324	4.739400177
90.428	0.773628	word	suddenly	DownTheRabbitHoleFinal_SoundFile1.wav	103	5	2	1	1	9.96	13.76	16.18	0.0009193	3.866524987	3.245331924	2.959804186
91.468	0.162207	word	a	DownTheRabbitHoleFinal_SoundFile1.wav	104	5	3	1	0	16.18	9.96	11.92	0.0038981	2.117347139	4.568716545	3.424117353
91.584	0.420678	word	White	DownTheRabbitHoleFinal_SoundFile1.wav	105	5	4	1	1	11.92	16.18	8.66	0.0026644	2.782802419	2.349301898	4.229336596
91.958	0.453074	word	Rabbit	DownTheRabbitHoleFinal_SoundFile1.wav	106	5	5	1	1	8.66	11.92	14.97	0.017017	1.836019692	2.644749224	3.9762915
92.366	0.213619	word	with	DownTheRabbitHoleFinal_SoundFile1.wav	107	5	6	1	0	14.97	8.66	9.48	8.38e-05	3.776234981	4.28646099	2.092482014
92.534	0.417157	word	pink	DownTheRabbitHoleFinal_SoundFile1.wav	108	5	7	1	1	9.48	14.97	10.97	0.01633	4.384214261	4.839912944	4.347872109
92.904	0.479968	word	eyes	DownTheRabbitHoleFinal_SoundFile1.wav	109	5	8	1	1	10.97	9.48	10.34	3.86e-07	1.957499281	3.064292605	4.784666314
93.338	0.258562	word	ran	DownTheRabbitHoleFinal_SoundFile1.wav	110	5	9	1	1	10.34	10.97	11.35	0.00010213	2.989369873	3.411266342	1.663686785
93.55	0.453075	word	close	DownTheRabbitHoleFinal_SoundFile1.wav	111	5	10	1	1	11.35	10.34	14.4	0.00072237	4.985250711	5.915149381	3.825185837
93.958	0.249538	word	by	DownTheRabbitHoleFinal_SoundFile1.wav	112	5	11	1	0	14.4	11.35	0	0.00011419	1.693322949	1.622396762	2.20919004
94.162	0.369265	word	her	DownTheRabbitHoleFinal_SoundFile1.wav	113	6	1	1	n/a	0	14.4	14.09	0.014636	2.421403217	2.224637356	2.073007506
95.862	0.209756	word	There	DownTheRabbitHoleFinal_SoundFile1.wav	114	6	2	1	0	14.09	0	14.56	4.34e-07	5.762548666	7.546625668	4.195579027
96.026	0.217482	word	was	DownTheRabbitHoleFinal_SoundFile1.wav	115	6	3	1	0	14.56	14.09	11.99	2.5e-07	0.908334731	2.0377514	1.357460372
96.196	0.417156	word	nothing	DownTheRabbitHoleFinal_SoundFile1.wav	116	6	4	1	1	11.99	14.56	14.05	2.86e-07	2.748676251	6.07558471	5.016871601
96.568	0.339511	word	so	DownTheRabbitHoleFinal_SoundFile1.wav	117	6	5	1	0	14.05	11.99	13.28	5.09e-07	2.586406708	3.759912074	3.026537365
96.862	0.626503	word	very	DownTheRabbitHoleFinal_SoundFile1.wav	118	6	6	1	1	13.28	14.05	8.36	6.68e-07	4.756336646	3.65098971	5.685543756
97.442	0.770245	word	remarkable	DownTheRabbitHoleFinal_SoundFile1.wav	119	6	7	1	1	8.36	13.28	14.5	0.017236	5.803175847	3.80598236	4.472070026
98.166	0.207741	word	in	DownTheRabbitHoleFinal_SoundFile1.wav	120	6	8	1	0	14.5	8.36	15.48	0.017309	6.301896912	3.499711903	2.57468002
98.328	0.417157	word	that	DownTheRabbitHoleFinal_SoundFile1.wav	121	6	9	1	0	15.48	14.5	10.91	0.0099405	2.050686008	1.673096065	4.836630344
99.214	0.268011	word	nor	DownTheRabbitHoleFinal_SoundFile1.wav	122	6	10	1	0	10.91	15.48	12.85	0.00037428	7.130717971	7.074213448	8.686560512
99.436	0.207118	word	did	DownTheRabbitHoleFinal_SoundFile1.wav	123	6	11	1	0	12.85	10.91	8.65	8.25e-07	4.059163597	3.071185852	1.490110757
99.598	0.453075	word	Alice	DownTheRabbitHoleFinal_SoundFile1.wav	124	6	12	1	1	8.65	12.85	13.39	0.00012926	7.053084512	4.156208807	3.758672606
100.004	0.237564	word	think	DownTheRabbitHoleFinal_SoundFile1.wav	125	6	13	1	1	13.39	8.65	15.37	0.0085044	8.451483363	6.927149693	1.988551832
100.196	0.144036	word	it	DownTheRabbitHoleFinal_SoundFile1.wav	126	6	14	1	0	15.37	13.39	14.05	0.00051335	2.133621265	3.096919267	2.021176532
100.294	0.278676	word	so	DownTheRabbitHoleFinal_SoundFile1.wav	127	6	15	1	0	14.05	15.37	13.28	0.0038045	3.388034464	3.688865964	2.972324951
100.526	0.385765	word	very	DownTheRabbitHoleFinal_SoundFile1.wav	128	6	16	1	1	13.28	14.05	13.09	0.015229	3.084858696	3.903636015	5.697355713
100.866	0.357326	word	much	DownTheRabbitHoleFinal_SoundFile1.wav	129	6	17	1	1	13.09	13.28	13.9	0.0077607	4.943959145	4.416631423	3.29393808
101.178	0.215907	word	out	DownTheRabbitHoleFinal_SoundFile1.wav	130	6	18	1	0	13.9	13.09	16.21	0.013603	2.615553305	3.214540311	3.163647995
101.348	0.151433	word	of	DownTheRabbitHoleFinal_SoundFile1.wav	131	6	19	1	0	16.21	13.9	16.96	0.00065942	5.826462563	5.467453624	2.52179124
101.452	0.141783	word	the	DownTheRabbitHoleFinal_SoundFile1.wav	132	6	20	1	0	16.96	16.21	13.1	0.018301	1.28155003	1.417496638	4.935626915
101.548	0.357292	word	way	DownTheRabbitHoleFinal_SoundFile1.wav	133	6	21	1	1	13.1	16.96	16.35	0.0081513	0.824339779	0.843843089	4.276261694
101.86	0.211716	word	to	DownTheRabbitHoleFinal_SoundFile1.wav	134	6	22	1	0	16.35	13.1	11.41	0.0016697	5.33318946	5.549176906	3.083298
102.026	0.215522	word	hear	DownTheRabbitHoleFinal_SoundFile1.wav	135	6	23	1	1	11.41	16.35	16.96	0.0097849	0.66195729	0.809292836	2.394488148
102.196	0.153755	word	the	DownTheRabbitHoleFinal_SoundFile1.wav	136	6	24	1	0	16.96	11.41	8.66	0.0069482	2.592977481	2.578886276	4.536654779
102.302	0.394242	word	Rabbit	DownTheRabbitHoleFinal_SoundFile1.wav	137	6	25	1	1	8.66	16.96	12.79	0.0084911	4.344849413	2.750996486	4.040952436
102.652	0.284425	word	say	DownTheRabbitHoleFinal_SoundFile1.wav	138	6	26	1	1	12.79	8.66	16.35	0.0082525	7.53689012	7.621711412	2.296681981
102.89	0.238976	word	to	DownTheRabbitHoleFinal_SoundFile1.wav	139	6	27	1	0	16.35	12.79	11.24	0.0053049	5.146629978	4.841787908	4.131801851
103.082	0.60731	word	itself	DownTheRabbitHoleFinal_SoundFile1.wav	140	6	28	1	0	11.24	16.35	11.64	0.0010399	3.171368348	3.121321673	2.030221233
104.198	0.175865	word	Oh	DownTheRabbitHoleFinal_SoundFile1.wav	141	6	29	1	0	11.64	11.24	10.29	2.28e-06	7.566986788	8.866031261	6.97047923
104.328	0.426805	word	dear	DownTheRabbitHoleFinal_SoundFile1.wav	142	6	30	1	1	10.29	11.64	11.64	0.017203	1.059176842	7.752421448	1.599687072
105.044	0.165728	word	Oh	DownTheRabbitHoleFinal_SoundFile1.wav	143	6	31	1	0	11.64	10.29	10.29	0.016817	4.669435007	7.290447074	3.846226029
105.164	0.381238	word	dear	DownTheRabbitHoleFinal_SoundFile1.wav	144	6	32	1	1	10.29	11.64	15.79	0.018238	3.860678393	5.480383864	3.547640904
105.7	0.110858	word	I	DownTheRabbitHoleFinal_SoundFile1.wav	145	6	33	1	0	15.79	10.29	11	0.023727	2.088240405	1.780255217	0.720338115
105.766	0.247245	word	shall	DownTheRabbitHoleFinal_SoundFile1.wav	146	6	34	1	0	11	15.79	14.95	0.0013869	2.392818026	2.767143001	3.988892743
105.966	0.190789	word	be	DownTheRabbitHoleFinal_SoundFile1.wav	147	6	35	1	0	14.95	11	12.87	0.012924	0.778503815	0.715589962	4.316376117
106.112	0.439986	word	late	DownTheRabbitHoleFinal_SoundFile1.wav	149	6	36	1	1	10.92	12.87	13.76	0.0027085	4.393748195	4.913621006	5.285719974
107.454	0.166125	word	when	DownTheRabbitHoleFinal_SoundFile1.wav	150	6	37	1	0	13.76	10.92	13.1	0.00065468	4.647078431	5.915991484	3.727772242
107.574	0.226428	word	she	DownTheRabbitHoleFinal_SoundFile1.wav	151	6	38	1	0	13.1	13.76	12.07	0.012053	1.500249166	1.863894522	1.598795071
107.754	0.287334	word	thought	DownTheRabbitHoleFinal_SoundFile1.wav	152	6	39	1	1	12.07	13.1	15.37	0.021723	1.138946301	1.26391943	1.311499525
107.996	0.16829	word	it	DownTheRabbitHoleFinal_SoundFile1.wav	153	6	40	1	0	15.37	12.07	13.02	0.016463	3.521044465	4.006159241	1.621284955
108.118	0.372976	word	over	DownTheRabbitHoleFinal_SoundFile1.wav	154	6	41	1	0	13.02	15.37	8.92	0.018549	4.197854095	6.38399439	5.740430808
108.444	0.716476	word	afterwards	DownTheRabbitHoleFinal_SoundFile1.wav	155	6	42	1	1	8.92	13.02	15.37	0.0021969	3.749626337	2.863356684	2.907084712
109.116	0.141783	word	it	DownTheRabbitHoleFinal_SoundFile1.wav	156	6	43	1	0	15.37	8.92	9.388	0.019087	4.643690065	3.864535316	3.011331301
109.212	0.441102	word	occurred	DownTheRabbitHoleFinal_SoundFile1.wav	157	6	44	1	1	9.388	15.37	16.35	0.016224	1.450426889	2.111245297	1.445652086
109.606	0.165728	word	to	DownTheRabbitHoleFinal_SoundFile1.wav	158	6	45	1	0	16.35	9.388	13.3	9.5e-05	3.634986599	3.687732796	4.228391327
109.726	0.266197	word	her	DownTheRabbitHoleFinal_SoundFile1.wav	159	6	46	1	0	13.3	16.35	15.48	1.11e-06	2.296063548	3.446700214	2.374825677
109.946	0.220905	word	that	DownTheRabbitHoleFinal_SoundFile1.wav	160	7	1	1	0	15.48	13.3	13.1	6.82e-07	1.985675875	3.858682106	2.205711346
110.322	0.267854	word	she	DownTheRabbitHoleFinal_SoundFile1.wav	161	7	2	1	0	13.1	15.48	9.63	0.018372	2.013829215	1.82346352	2.449195771
110.544	0.282453	word	ought	DownTheRabbitHoleFinal_SoundFile1.wav	162	7	3	1	0	9.63	13.1	16.35	0.0097558	3.150307324	2.934900788	4.331659069
110.78	0.216459	word	to	DownTheRabbitHoleFinal_SoundFile1.wav	163	7	4	1	0	16.35	9.63	14.92	0.015999	5.389927992	6.003803568	4.13781673
110.95	0.282616	word	have	DownTheRabbitHoleFinal_SoundFile1.wav	164	7	5	1	0	14.92	16.35	9.12	0.0018126	0.001443418	0.221759239	2.133932167
111.186	0.381238	word	wondered	DownTheRabbitHoleFinal_SoundFile1.wav	165	7	6	1	1	9.12	14.92	14.5	4.69e-07	6.197854124	7.016225073	2.684966537
