onset	duration	trial_type	word	stim_file	word_index	sentence_id	position_in_sentence	segment	is_lexical	log_freq	log_freq_prev	log_freq_next	sound_power	ngram_surprisal	rnn_surprisal	cfg_surprisal
57.438	0.562721	word	Alice	DownTheRabbitHoleFinal_SoundFile1.wav	1	1	1	1	1	8.65	0	14.56	3.62e-07	3.226499067	3.126175339	2.312348154
57.956	0.267822	word	was	DownTheRabbitHoleFinal_SoundFile1.wav	2	1	2	1	0	14.56	8.65	10.69	3.84e-09	0.905228728	1.69112822	1.357460372
58.178	0.518386	word	beginning	DownTheRabbitHoleFinal_SoundFile1.wav	3	1	3	1	1	10.69	14.56	16.35	3.69e-09	4.446766167	4.100770654	5.626722017
58.65	0.141996	word	to	DownTheRabbitHoleFinal_SoundFile1.wav	4	1	4	1	0	16.35	10.69	13.79	3.97e-09	2.537494638	3.833312728	5.939200987
58.746	0.309402	word	get	DownTheRabbitHoleFinal_SoundFile1.wav	5	1	5	1	0	13.79	16.35	13.28	3.77e-09	1.023137244	1.013075589	2.697303864
59.01	0.740422	word	very	DownTheRabbitHoleFinal_SoundFile1.wav	6	1	6	1	1	13.28	13.79	9.86	4.07e-09	4.259243326	4.461274164	4.74553241
59.704	0.535169	word	tired	DownTheRabbitHoleFinal_SoundFile1.wav	7	1	7	1	1	9.86	13.28	16.21	3.66e-09	2.64914132	3.489756833	4.74965246
60.192	0.184794	word	of	DownTheRabbitHoleFinal_SoundFile1.wav	8	1	8	1	0	16.21	9.86	10.08	3.62e-09	1.835435033	2.677026895	2.749431569
60.332	0.411778	word	sitting	DownTheRabbitHoleFinal_SoundFile1.wav	9	1	9	1	1	10.08	16.21	14.4	3.99e-09	3.898681251	5.246071843	3.542125458
60.698	0.225592	word	by	DownTheRabbitHoleFinal_SoundFile1.wav	10	1	10	1	0	14.4	10.08	13.3	3.83e-09	2.460874367	2.439412517	4.55645942
60.878	0.216514	word	her	DownTheRabbitHoleFinal_SoundFile1.wav	11	1	11	1	0	13.3	14.4	9.75	4.25e-09	3.09947518	3.72466334	7.33709007
61.048	0.498071	word	sister	DownTheRabbitHoleFinal_SoundFile1.wav	12	1	12	1	1	9.75	13.3	15.08	3.83e-09	0.644822784	0.510962322	4.784661334
61.5	0.213619	word	on	DownTheRabbitHoleFinal_SoundFile1.wav	13	1	13	1	0	15.08	9.75	16.96	3.97e-09	2.822781823	2.088793414	2.113473538
61.668	0.170513	word	the	DownTheRabbitHoleFinal_SoundFile1.wav	14	1	14	1	0	16.96	15.08	12.88	3.96e-09	1.551038125	1.617728069	4.756522977
61.792	0.433162	word	bank	DownTheRabbitHoleFinal_SoundFile1.wav	15	1	15	1	1	12.88	16.96	16.19	3.93e-09	0.824339779	0.8341243	3.9123798
62.178	0.168883	word	and	DownTheRabbitHoleFinal_SoundFile1.wav	16	1	16	1	0	16.19	12.88	16.21	3.84e-09	3.148749339	2.808465344	8.766530829
62.302	0.171485	word	of	DownTheRabbitHoleFinal_SoundFile1.wav	17	1	17	1	0	16.21	16.19	12.03	3.49e-09	3.817725863	4.385982627	2.523326889
62.428	0.447318	word	having	DownTheRabbitHoleFinal_SoundFile1.wav	18	1	18	1	1	12.03	16.21	11.99	3.63e-09	3.58642001	5.111372152	3.862723932
62.828	0.500966	word	nothing	DownTheRabbitHoleFinal_SoundFile1.wav	19	1	19	1	1	11.99	12.03	16.35	4.31e-09	4.642029101	4.075084194	3.827823617
63.284	0.206693	word	to	DownTheRabbitHoleFinal_SoundFile1.wav	20	1	20	1	0	16.35	11.99	14.12	3.74e-09	5.451483319	4.696513203	3.220382051
63.444	0.388164	word	do	DownTheRabbitHoleFinal_SoundFile1.wav	21	1	21	1	1	14.12	16.35	12.15	3.8e-09	0.66195729	0.747471129	2.219615746
64.54	0.278431	word	once	DownTheRabbitHoleFinal_SoundFile1.wav	22	2	1	1	1	12.15	14.12	14.78	4.11e-09	4.259243326	4.340029276	4.013905915
64.774	0.165314	word	or	DownTheRabbitHoleFinal_SoundFile1.wav	23	2	2	1	0	14.78	12.15	10.74	3.73e-09	4.41524107	4.103663228	8.339421484
64.892	0.504425	word	twice	DownTheRabbitHoleFinal_SoundFile1.wav	24	2	3	1	1	10.74	14.78	13.1	3.7e-09	1.875912727	3.579937238	3.510603518
65.35	0.3493	word	she	DownTheRabbitHoleFinal_SoundFile1.wav	25	2	4	1	0	13.1	10.74	13.53	3.97e-09	2.205315117	3.360415445	1.687009856
65.654	0.343551	word	peeped	DownTheRabbitHoleFinal_SoundFile1.wav	27	2	5	1	1	6.48	13.53	13.24	3.82e-09	3.654884948	3.855038534	3.989716141
65.954	0.26151	word	into	DownTheRabbitHoleFinal_SoundFile1.wav	28	2	6	1	0	13.24	6.48	16.96	4.01e-09	1.938248707	2.231433148	4.304196131
66.17	0.153755	word	the	DownTheRabbitHoleFinal_SoundFile1.wav	29	2	7	1	0	16.96	13.24	12.16	3.47e-09	1.393761439	1.179505409	3.883794254
66.276	0.393211	word	book	DownTheRabbitHoleFinal_SoundFile1.wav	30	2	8	1	1	12.16	16.96	13.3	3.96e-09	0.824339779	0.826050458	4.402728359
66.624	0.129809	word	her	DownTheRabbitHoleFinal_SoundFile1.wav	31	2	9	1	0	13.3	12.16	9.75	4.18e-09	8.422283615	7.757932029	7.68133723
66.708	0.441102	word	sister	DownTheRabbitHoleFinal_SoundFile1.wav	32	2	10	1	1	9.75	13.3	14.56	3.75e-09	0.416480091	0.497410785	3.417530454
67.102	0.297429	word	was	DownTheRabbitHoleFinal_SoundFile1.wav	33	2	11	1	0	14.56	9.75	11.54	3.85e-09	3.237820197	2.986597372	1.919235746
67.354	0.500966	word	reading	DownTheRabbitHoleFinal_SoundFile1.wav	34	2	12	1	1	11.54	14.56	14.57	3.86e-09	3.645284576	3.793898351	4.676618977
68.204	0.161518	word	but	DownTheRabbitHoleFinal_SoundFile1.wav	35	2	13	1	0	14.57	11.54	15.37	4.14e-09	4.181344112	4.644046277	8.917347763
68.32	0.134019	word	it	DownTheRabbitHoleFinal_SoundFile1.wav	36	2	14	1	0	15.37	14.57	13.53	4.02e-09	3.043344561	2.35986458	1.709409826
68.408	0.321374	word	had	DownTheRabbitHoleFinal_SoundFile1.wav	37	2	15	1	0	13.53	15.37	13.96	4.28e-09	0.980686324	1.766234132	1.46834649
68.684	0.177701	word	no	DownTheRabbitHoleFinal_SoundFile1.wav	38	2	16	1	0	13.96	13.53	10.46	3.77e-09	2.991921114	2.67575161	4.306047726
68.816	0.552408	word	pictures	DownTheRabbitHoleFinal_SoundFile1.wav	39	2	17	1	1	10.46	13.96	14.78	3.77e-09	5.255190588	4.47963629	5.430814996
69.322	0.151003	word	or	DownTheRabbitHoleFinal_SoundFile1.wav	40	2	18	1	0	14.78	10.46	8.44	3.64e-09	3.658539069	3.265279924	8.659312032
69.426	0.895471	word	conversations	DownTheRabbitHoleFinal_SoundFile1.wav	41	2	19	1	1	8.44	14.78	15.9	4.07e-09	1.987502935	5.864179588	5.079724226
70.276	0.176559	word	in	DownTheRabbitHoleFinal_SoundFile1.wav	42	2	20	1	0	15.9	8.44	15.37	3.96e-09	2.323373119	2.711736703	2.196946528
70.406	0.247256	word	it	DownTheRabbitHoleFinal_SoundFile1.wav	43	2	21	1	0	15.37	15.9	16.19	3.87e-09	2.23092386	2.019347876	1.684899432
71.17	0.212255	word	and	DownTheRabbitHoleFinal_SoundFile1.wav	44	2	22	1	0	16.19	15.37	14.1	3.74e-09	3.973424633	4.785308576	8.738636541
