onset	duration	trial_type	word	word_index	sentence_id	position_in_sentence	segment	is_lexical	log_freq	log_freq_prev	log_freq_next	word_length	sound_power	ngram_surprisal	rnn_surprisal	cfg_surprisal
55.628000	0.562721	word	Alice	1	1	1	1	1.000000	8.650000	0.000000	14.560000	0.562721	0.000000	3.226499	3.126175	2.312348
56.146000	0.267822	word	was	2	1	2	1	0.000000	14.560000	8.650000	10.690000	0.267822	0.000000	0.905229	1.691128	1.357460
56.368000	0.518386	word	beginning	3	1	3	1	1.000000	10.690000	14.560000	16.350000	0.518386	0.000000	4.446766	4.100771	5.626722
56.840000	0.141996	word	to	4	1	4	1	0.000000	16.350000	10.690000	13.790000	0.141996	0.000000	2.537495	3.833313	5.939201
56.936000	0.309402	word	get	5	1	5	1	0.000000	13.790000	16.350000	13.280000	0.309402	0.000000	1.023137	1.013076	2.697304
57.200000	0.740422	word	very	6	1	6	1	1.000000	13.280000	13.790000	9.860000	0.740422	0.000000	4.259243	4.461274	4.745532
57.894000	0.535169	word	tired	7	1	7	1	1.000000	9.860000	13.280000	16.210000	0.535169	0.000000	2.649141	3.489757	4.749652
58.382000	0.184794	word	of	8	1	8	1	0.000000	16.210000	9.860000	10.080000	0.184794	0.000000	1.835435	2.677027	2.749432
58.522000	0.411778	word	sitting	9	1	9	1	1.000000	10.080000	16.210000	14.400000	0.411778	0.000000	3.898681	5.246072	3.542125
58.888000	0.225592	word	by	10	1	10	1	0.000000	14.400000	10.080000	13.300000	0.225592	0.000000	2.460874	2.439413	4.556459
59.068000	0.216514	word	her	11	1	11	1	0.000000	13.300000	14.400000	9.750000	0.216514	0.000000	3.099475	3.724663	7.337090
59.238000	0.498071	word	sister	12	1	12	1	1.000000	9.750000	13.300000	15.080000	0.498071	0.000000	0.644823	0.510962	4.784661
59.690000	0.213619	word	on	13	1	13	1	0.000000	15.080000	9.750000	16.960000	0.213619	0.000000	2.822782	2.088793	2.113474
59.858000	0.170513	word	the	14	1	14	1	0.000000	16.960000	15.080000	12.880000	0.170513	0.000000	1.551038	1.617728	4.756523
59.982000	0.433162	word	bank	15	1	15	1	1.000000	12.880000	16.960000	16.190000	0.433162	0.000000	0.824340	0.834124	3.912380
60.368000	0.168883	word	and	16	1	16	1	0.000000	16.190000	12.880000	16.210000	0.168883	0.000000	3.148749	2.808465	8.766531
60.492000	0.171485	word	of	17	1	17	1	0.000000	16.210000	16.190000	12.030000	0.171485	0.000000	3.817726	4.385983	2.523327
60.618000	0.447318	word	having	18	1	18	1	1.000000	12.030000	16.210000	11.990000	0.447318	0.000000	3.586420	5.111372	3.862724
61.018000	0.500966	word	nothing	19	1	19	1	1.000000	11.990000	12.030000	16.350000	0.500966	0.000000	4.642029	4.075084	3.827824
61.474000	0.206693	word	to	20	1	20	1	0.000000	16.350000	11.990000	14.120000	0.206693	0.000000	5.451483	4.696513	3.220382
61.634000	0.388164	word	do	21	1	21	1	1.000000	14.120000	16.350000	12.150000	0.388164	0.000000	0.661957	0.747471	2.219616
62.730000	0.278431	word	once	22	2	1	1	1.000000	12.150000	14.120000	14.780000	0.278431	0.000000	4.259243	4.340029	4.013906
62.964000	0.165314	word	or	23	2	2	1	0.000000	14.780000	12.150000	10.740000	0.165314	0.000000	4.415241	4.103663	8.339421
63.082000	0.504425	word	twice	24	2	3	1	1.000000	10.740000	14.780000	13.100000	0.504425	0.000000	1.875913	3.579937	3.510604
63.540000	0.349300	word	she	25	2	4	1	0.000000	13.100000	10.740000	13.530000	0.349300	0.000000	2.205315	3.360415	1.687010
63.844000	0.343551	word	peeped	27	2	5	1	1.000000	6.480000	13.530000	13.240000	0.343551	0.000000	3.654885	3.855039	3.989716
