onset	duration	trial_type	word	word_index	sentence_id	position_in_sentence	segment	is_lexical	log_freq	log_freq_prev	log_freq_next	word_length	sound_power	ngram_surprisal	rnn_surprisal	cfg_surprisal
0.278000	0.562721	word	Alice	1	1	1	1	1.000000	8.650000	0.000000	14.560000	0.562721	0.000000	3.226499	3.126175	2.312348
0.796000	0.267822	word	was	2	1	2	1	0.000000	14.560000	8.650000	10.690000	0.267822	0.000000	0.905229	1.691128	1.357460
1.018000	0.518386	word	beginning	3	1	3	1	1.000000	10.690000	14.560000	16.350000	0.518386	0.000000	4.446766	4.100771	5.626722
1.490000	0.141996	word	to	4	1	4	1	0.000000	16.350000	10.690000	13.790000	0.141996	0.000000	2.537495	3.833313	5.939201
1.586000	0.309402	word	get	5	1	5	1	0.000000	13.790000	16.350000	13.280000	0.309402	0.000000	1.023137	1.013076	2.697304
1.850000	0.740422	word	very	6	1	6	1	1.000000	13.280000	13.790000	9.860000	0.740422	0.000000	4.259243	4.461274	4.745532
2.544000	0.535169	word	tired	7	1	7	1	1.000000	9.860000	13.280000	16.210000	0.535169	0.000000	2.649141	3.489757	4.749652
3.032000	0.184794	word	of	8	1	8	1	0.000000	16.210000	9.860000	10.080000	0.184794	0.000000	1.835435	2.677027	2.749432
3.172000	0.411778	word	sitting	9	1	9	1	1.000000	10.080000	16.210000	14.400000	0.411778	0.000000	3.898681	5.246072	3.542125
3.538000	0.225592	word	by	10	1	10	1	0.000000	14.400000	10.080000	13.300000	0.225592	0.000000	2.460874	2.439413	4.556459
3.718000	0.216514	word	her	11	1	11	1	0.000000	13.300000	14.400000	9.750000	0.216514	0.000000	3.099475	3.724663	7.337090
3.888000	0.498071	word	sister	12	1	12	1	1.000000	9.750000	13.300000	15.080000	0.498071	0.000000	0.644823	0.510962	4.784661
4.340000	0.213619	word	on	13	1	13	1	0.000000	15.080000	9.750000	16.960000	0.213619	0.000000	2.822782	2.088793	2.113474
4.508000	0.170513	word	the	14	1	14	1	0.000000	16.960000	15.080000	12.880000	0.170513	0.000000	1.551038	1.617728	4.756523
4.632000	0.433162	word	bank	15	1	15	1	1.000000	12.880000	16.960000	16.190000	0.433162	0.000000	0.824340	0.834124	3.912380
5.018000	0.168883	word	and	16	1	16	1	0.000000	16.190000	12.880000	16.210000	0.168883	0.000000	3.148749	2.808465	8.766531
5.142000	0.171485	word	of	17	1	17	1	0.000000	16.210000	16.190000	12.030000	0.171485	0.000000	3.817726	4.385983	2.523327
5.268000	0.447318	word	having	18	1	18	1	1.000000	12.030000	16.210000	11.990000	0.447318	0.000000	3.586420	5.111372	3.862724
5.668000	0.500966	word	nothing	19	1	19	1	1.000000	11.990000	12.030000	16.350000	0.500966	0.000000	4.642029	4.075084	3.827824
6.124000	0.206693	word	to	20	1	20	1	0.000000	16.350000	11.990000	14.120000	0.206693	0.000000	5.451483	4.696513	3.220382
6.284000	0.388164	word	do	21	1	21	1	1.000000	14.120000	16.350000	12.150000	0.388164	0.000000	0.661957	0.747471	2.219616
7.380000	0.278431	word	once	22	2	1	1	1.000000	12.150000	14.120000	14.780000	0.278431	0.000000	4.259243	4.340029	4.013906
7.614000	0.165314	word	or	23	2	2	1	0.000000	14.780000	12.150000	10.740000	0.165314	0.000000	4.415241	4.103663	8.339421
7.732000	0.504425	word	twice	24	2	3	1	1.000000	10.740000	14.780000	13.100000	0.504425	0.000000	1.875913	3.579937	3.510604
8.190000	0.349300	word	she	25	2	4	1	0.000000	13.100000	10.740000	13.530000	0.349300	0.000000	2.205315	3.360415	1.687010
8.494000	0.343551	word	peeped	27	2	5	1	1.000000	6.480000	13.530000	13.240000	0.343551	0.000000	3.654885	3.855039	3.989716
8.794000	0.261510	word	into	28	2	6	1	0.000000	13.240000	6.480000	16.960000	0.261510	0.000000	1.938249	2.231433	4.304196
9.010000	0.153755	word	the	29	2	7	1	0.000000	16.960000	13.240000	12.160000	0.153755	0.000000	1.393761	1.179505	3.883794
9.116000	0.393211	word	book	30	2	8	1	1.000000	12.160000	16.960000	13.300000	0.393211	0.000000	0.824340	0.826050	4.402728
9.464000	0.129809	word	her	31	2	9	1	0.000000	13.300000	12.160000	9.750000	0.129809	0.000000	8.422284	7.757932	7.681337
9.548000	0.441102	word	sister	32	2	10	1	1.000000	9.750000	13.300000	14.560000	0.441102	0.000000	0.416480	0.497411	3.417530
9.942000	0.297429	word	was	33	2	11	1	0.000000	14.560000	9.750000	11.540000	0.297429	0.000000	3.237820	2.986597	1.919236
10.194000	0.500966	word	reading	34	2	12	1	1.000000	11.540000	14.560000	14.570000	0.500966	0.000000	3.645285	3.793898	4.676619
11.044000	0.161518	word	but	35	2	13	1	0.000000	14.570000	11.540000	15.370000	0.161518	0.000000	4.181344	4.644046	8.917348
11.160000	0.134019	word	it	36	2	14	1	0.000000	15.370000	14.570000	13.530000	0.134019	0.000000	3.043345	2.359865	1.709410
11.248000	0.321374	word	had	37	2	15	1	0.000000	13.530000	15.370000	13.960000	0.321374	0.000000	0.980686	1.766234	1.468346
11.524000	0.177701	word	no	38	2	16	1	0.000000	13.960000	13.530000	10.460000	0.177701	0.000000	2.991921	2.675752	4.306048
11.656000	0.552408	word	pictures	39	2	17	1	1.000000	10.460000	13.960000	14.780000	0.552408	0.000000	5.255191	4.479636	5.430815
12.162000	0.151003	word	or	40	2	18	1	0.000000	14.780000	10.460000	8.440000	0.151003	0.000000	3.658539	3.265280	8.659312
12.266000	0.895471	word	conversations	41	2	19	1	1.000000	8.440000	14.780000	15.900000	0.895471	0.000000	1.987503	5.864180	5.079724
13.116000	0.176559	word	in	42	2	20	1	0.000000	15.900000	8.440000	15.370000	0.176559	0.000000	2.323373	2.711737	2.196947
13.246000	0.247256	word	it	43	2	21	1	0.000000	15.370000	15.900000	16.190000	0.247256	0.000000	2.230924	2.019348	1.684899
14.010000	0.212255	word	and	44	2	22	1	0.000000	16.190000	15.370000	14.100000	0.212255	0.000000	3.973425	4.785309	8.738637
14.176000	0.212777	word	what	45	2	23	1	0.000000	14.100000	16.190000	15.680000	0.212777	0.000000	7.307112	6.171358	4.561623
14.344000	0.162148	word	s	46	2	24	1	0.000000	15.680000	14.100000	16.960000	0.162148	0.000000	0.779052	4.874016	3.825143
14.460000	0.226160	word	the	47	2	25	1	0.000000	16.960000	15.680000	13.430000	0.226160	0.000000	1.955639	2.458620	4.111168
14.640000	0.365519	word	use	48	2	26	1	1.000000	13.430000	16.960000	16.210000	0.365519	0.000000	0.941321	1.202240	3.651082
14.960000	0.141782	word	of	49	2	27	1	0.000000	16.210000	13.430000	16.180000	0.141782	0.000000	1.877723	2.010192	2.155842
15.056000	0.257802	word	a	50	2	28	1	0.000000	16.180000	16.210000	12.160000	0.257802	0.000000	1.551038	1.511374	3.783791
15.268000	0.442679	word	book	51	2	29	1	1.000000	12.160000	16.180000	12.070000	0.442679	0.000000	0.824340	0.849273	3.239261
15.664000	0.462419	word	thought	52	3	1	1	1.000000	12.070000	12.160000	8.650000	0.462419	0.000000	6.377570	6.929198	3.414765
16.080000	0.431012	word	Alice	53	3	2	1	1.000000	8.650000	12.070000	12.450000	0.431012	0.000000	5.814072	5.095413	3.441558
16.466000	0.381427	word	without	54	3	3	1	0.000000	12.450000	8.650000	10.460000	0.381427	0.000000	1.795419	3.325289	2.282073
16.800000	0.587502	word	pictures	55	3	4	1	1.000000	10.460000	12.450000	14.780000	0.587502	0.000000	6.167259	4.999121	4.737181
17.342000	0.203505	word	or	56	3	5	1	0.000000	14.780000	10.460000	8.440000	0.203505	0.000000	2.389715	3.287261	8.682440
17.500000	1.055197	word	conversation	57	3	6	1	1.000000	8.440000	14.780000	14.050000	1.055197	0.000000	1.987503	5.828036	4.534490
19.760000	0.241422	word	So	58	4	1	1	0.000000	14.050000	8.440000	13.100000	0.241422	0.000000	3.941534	4.799170	4.244906
19.954000	0.250173	word	she	59	4	2	1	0.000000	13.100000	14.050000	14.560000	0.250173	0.000000	1.407434	1.558386	0.329808
20.160000	0.294019	word	was	60	4	3	1	0.000000	14.560000	13.100000	10.290000	0.294019	0.000000	1.219912	1.380405	1.287041
20.408000	0.800286	word	considering	61	4	4	1	1.000000	10.290000	14.560000	15.900000	0.800286	0.012323	3.802445	3.806686	5.501232
21.162000	0.141782	word	in	62	4	5	1	0.000000	15.900000	10.290000	13.300000	0.141782	0.000170	1.933425	2.078577	5.023746
21.258000	0.291434	word	her	63	4	6	1	0.000000	13.300000	15.900000	12.560000	0.291434	0.012918	3.099475	3.789882	7.629038
21.502000	0.279478	word	own	64	4	7	1	0.000000	12.560000	13.300000	11.780000	0.279478	0.001760	3.476232	3.984619	4.586452
21.736000	0.417156	word	mind	65	4	8	1	1.000000	11.780000	12.560000	14.790000	0.417156	0.006060	0.601837	0.801817	4.315030
22.398000	0.293987	word	as	66	4	9	1	0.000000	14.790000	11.780000	13.220000	0.293987	0.014015	4.209647	4.585672	3.150811
22.646000	0.274187	word	well	67	4	10	1	0.000000	13.220000	14.790000	14.790000	0.274187	0.001558	2.948975	2.922925	3.602697
22.874000	0.141078	word	as	68	4	11	1	n/a	14.790000	13.220000	13.100000	0.141078	0.006255	1.917284	3.041963	3.504291
22.970000	0.237564	word	she	69	4	12	1	0.000000	13.100000	14.790000	13.210000	0.237564	0.005864	1.663449	1.841941	2.019423
23.160000	0.500966	word	could	70	4	13	1	0.000000	13.210000	13.100000	15.420000	0.500966	0.000053	3.150307	3.084354	4.069020
23.616000	0.177263	word	for	71	4	14	1	0.000000	15.420000	13.210000	16.960000	0.177263	0.015868	5.974886	5.128348	3.160379
23.748000	0.130248	word	the	72	4	15	1	0.000000	16.960000	15.420000	10.850000	0.130248	0.008186	1.602774	1.447128	4.748859
23.832000	0.345319	word	hot	73	4	16	1	1.000000	10.850000	16.960000	12.380000	0.345319	0.020678	2.414520	2.499491	4.457873
24.130000	0.309402	word	day	74	4	17	1	1.000000	12.380000	10.850000	12.510000	0.309402	0.001269	0.515633	0.805001	4.138033
24.394000	0.249537	word	made	75	4	18	1	1.000000	12.510000	12.380000	13.300000	0.249537	0.003544	3.256945	3.275196	1.604565
24.598000	0.164633	word	her	76	4	19	1	0.000000	13.300000	12.510000	12.000000	0.164633	0.001698	4.967213	4.034877	1.999611
24.716000	0.298524	word	feel	77	4	20	1	1.000000	12.000000	13.300000	13.280000	0.298524	0.008225	3.667342	2.578881	2.379691
24.968000	0.369265	word	very	78	4	21	1	1.000000	13.280000	12.000000	7.090000	0.369265	0.000013	2.290951	2.322471	3.710821
25.292000	0.528141	word	sleepy	79	4	22	1	1.000000	7.090000	13.280000	16.190000	0.528141	0.001098	3.112952	3.599543	4.837428
25.774000	0.185605	word	and	80	4	23	1	0.000000	16.190000	7.090000	10.720000	0.185605	0.005671	3.085978	4.279476	8.852300
25.914000	0.657451	word	stupid	81	4	24	1	1.000000	10.720000	16.190000	11.630000	0.657451	0.000012	2.290951	4.606051	4.842486
27.112000	0.309401	word	whether	82	4	25	1	0.000000	11.630000	10.720000	16.960000	0.309401	0.000001	2.130728	3.196766	2.452164
27.376000	0.217849	word	the	83	4	26	1	0.000000	16.960000	11.630000	9.730000	0.217849	0.000003	2.050686	1.677213	4.673726
27.548000	0.508709	word	pleasure	84	4	27	1	1.000000	9.730000	16.960000	16.210000	0.508709	0.002649	0.824340	0.805339	4.322545
28.010000	0.153755	word	of	85	4	28	1	0.000000	16.210000	9.730000	11.690000	0.153755	0.009104	1.877723	2.130645	2.129905
28.118000	0.417157	word	making	86	4	29	1	1.000000	11.690000	16.210000	16.180000	0.417157	0.003573	4.029100	4.565502	3.664783
28.488000	0.166563	word	a	87	4	30	1	0.000000	16.180000	11.690000	7.190000	0.166563	0.000003	2.975448	2.839602	4.427021
28.610000	0.488158	word	daisy	88	4	31	1	1.000000	7.190000	16.180000	10.060000	0.488158	0.008146	0.824566	1.111767	4.382480
29.052000	0.417156	word	chain	89	4	32	1	1.000000	10.060000	7.190000	14.060000	0.417156	0.001066	0.000000	0.000000	0.000000
29.530000	0.225592	word	would	90	4	33	1	0.000000	14.060000	10.060000	14.950000	0.225592	0.001893	6.470684	6.883959	4.352429
29.710000	0.177701	word	be	91	4	34	1	0.000000	14.950000	14.060000	11.310000	0.177701	0.006054	0.345397	0.901643	2.819021
29.842000	0.309401	word	worth	92	4	35	1	1.000000	11.310000	14.950000	16.960000	0.309401	0.000066	4.393748	4.958744	4.900642
30.106000	0.132941	word	the	93	4	36	1	0.000000	16.960000	11.310000	10.810000	0.132941	0.001742	4.576786	5.037035	4.682054
30.192000	0.451580	word	trouble	94	4	37	1	1.000000	10.810000	16.960000	16.210000	0.451580	0.000669	2.060336	0.799793	4.419826
30.598000	0.140146	word	of	95	4	38	1	0.000000	16.210000	10.810000	11.990000	0.140146	0.000553	1.877723	2.020470	2.133733
30.692000	0.428028	word	getting	96	4	39	1	1.000000	11.990000	16.210000	13.740000	0.428028	0.000001	4.029100	4.490911	3.613912
31.074000	0.226693	word	up	97	4	40	1	0.000000	13.740000	11.990000	16.190000	0.226693	0.000118	3.975451	5.431393	6.522897
31.254000	0.201625	word	and	98	4	41	1	0.000000	16.190000	13.740000	9.070000	0.201625	0.000495	3.416470	3.586288	8.646740
31.410000	0.381259	word	picking	99	4	42	1	1.000000	9.070000	16.190000	16.960000	0.381259	0.003424	3.001442	5.318147	3.406075
31.746000	0.120575	word	the	100	4	43	1	0.000000	16.960000	9.070000	5.700000	0.120575	0.000058	4.467827	3.227608	4.455573
31.820000	0.713738	word	daisies	101	4	44	1	1.000000	5.700000	16.960000	13.760000	0.713738	0.013625	3.384214	3.911704	5.412210
33.066000	0.248374	word	when	102	5	1	1	0.000000	13.760000	5.700000	9.960000	0.248374	0.000744	7.001229	6.544628	4.739400
33.268000	0.773628	word	suddenly	103	5	2	1	1.000000	9.960000	13.760000	16.180000	0.773628	0.000919	3.866525	3.245332	2.959804
34.308000	0.162207	word	a	104	5	3	1	0.000000	16.180000	9.960000	11.920000	0.162207	0.003898	2.117347	4.568717	3.424117
34.424000	0.420678	word	White	105	5	4	1	1.000000	11.920000	16.180000	8.660000	0.420678	0.002664	2.782802	2.349302	4.229337
34.798000	0.453074	word	Rabbit	106	5	5	1	1.000000	8.660000	11.920000	14.970000	0.453074	0.017017	1.836020	2.644749	3.976291
35.206000	0.213619	word	with	107	5	6	1	0.000000	14.970000	8.660000	9.480000	0.213619	0.000084	3.776235	4.286461	2.092482
35.374000	0.417157	word	pink	108	5	7	1	1.000000	9.480000	14.970000	10.970000	0.417157	0.016330	4.384214	4.839913	4.347872
35.744000	0.479968	word	eyes	109	5	8	1	1.000000	10.970000	9.480000	10.340000	0.479968	0.000000	1.957499	3.064293	4.784666
36.178000	0.258562	word	ran	110	5	9	1	1.000000	10.340000	10.970000	11.350000	0.258562	0.000102	2.989370	3.411266	1.663687
36.390000	0.453075	word	close	111	5	10	1	1.000000	11.350000	10.340000	14.400000	0.453075	0.000722	4.985251	5.915149	3.825186
36.798000	0.249538	word	by	112	5	11	1	0.000000	14.400000	11.350000	0.000000	0.249538	0.000114	1.693323	1.622397	2.209190
37.002000	0.369265	word	her	113	6	1	1	n/a	0.000000	14.400000	14.090000	0.369265	0.014636	2.421403	2.224637	2.073008
38.702000	0.209756	word	There	114	6	2	1	0.000000	14.090000	0.000000	14.560000	0.209756	0.000000	5.762549	7.546626	4.195579
38.866000	0.217482	word	was	115	6	3	1	0.000000	14.560000	14.090000	11.990000	0.217482	0.000000	0.908335	2.037751	1.357460
39.036000	0.417156	word	nothing	116	6	4	1	1.000000	11.990000	14.560000	14.050000	0.417156	0.000000	2.748676	6.075585	5.016872
39.408000	0.339511	word	so	117	6	5	1	0.000000	14.050000	11.990000	13.280000	0.339511	0.000001	2.586407	3.759912	3.026537
39.702000	0.626503	word	very	118	6	6	1	1.000000	13.280000	14.050000	8.360000	0.626503	0.000001	4.756337	3.650990	5.685544
40.282000	0.770245	word	remarkable	119	6	7	1	1.000000	8.360000	13.280000	14.500000	0.770245	0.017236	5.803176	3.805982	4.472070
41.006000	0.207741	word	in	120	6	8	1	0.000000	14.500000	8.360000	15.480000	0.207741	0.017309	6.301897	3.499712	2.574680
41.168000	0.417157	word	that	121	6	9	1	0.000000	15.480000	14.500000	10.910000	0.417157	0.009940	2.050686	1.673096	4.836630
42.054000	0.268011	word	nor	122	6	10	1	0.000000	10.910000	15.480000	12.850000	0.268011	0.000374	7.130718	7.074213	8.686561
