onset	duration	trial_type	word	word_index	sentence_id	position_in_sentence	segment	is_lexical	log_freq	log_freq_prev	log_freq_next	word_length	sound_power	ngram_surprisal	rnn_surprisal	cfg_surprisal
6.234000	0.562721	word	Alice	1	1	1	1	1	8.650000	0.000000	14.560000	0.562721	0.000000	3.226499	3.126175	2.312348
6.752000	0.267822	word	was	2	1	2	1	0	14.560000	8.650000	10.690000	0.267822	0.000000	0.905229	1.691128	1.357460
6.974000	0.518386	word	beginning	3	1	3	1	1	10.690000	14.560000	16.350000	0.518386	0.000000	4.446766	4.100771	5.626722
7.446000	0.141996	word	to	4	1	4	1	0	16.350000	10.690000	13.790000	0.141996	0.000000	2.537495	3.833313	5.939201
7.542000	0.309402	word	get	5	1	5	1	0	13.790000	16.350000	13.280000	0.309402	0.000000	1.023137	1.013076	2.697304
7.806000	0.740422	word	very	6	1	6	1	1	13.280000	13.790000	9.860000	0.740422	0.000000	4.259243	4.461274	4.745532
8.500000	0.535169	word	tired	7	1	7	1	1	9.860000	13.280000	16.210000	0.535169	0.000000	2.649141	3.489757	4.749652
8.988000	0.184794	word	of	8	1	8	1	0	16.210000	9.860000	10.080000	0.184794	0.000000	1.835435	2.677027	2.749432
9.128000	0.411778	word	sitting	9	1	9	1	1	10.080000	16.210000	14.400000	0.411778	0.000000	3.898681	5.246072	3.542125
9.494000	0.225592	word	by	10	1	10	1	0	14.400000	10.080000	13.300000	0.225592	0.000000	2.460874	2.439413	4.556459
9.674000	0.216514	word	her	11	1	11	1	0	13.300000	14.400000	9.750000	0.216514	0.000000	3.099475	3.724663	7.337090
9.844000	0.498071	word	sister	12	1	12	1	1	9.750000	13.300000	15.080000	0.498071	0.000000	0.644823	0.510962	4.784661
10.296000	0.213619	word	on	13	1	13	1	0	15.080000	9.750000	16.960000	0.213619	0.000000	2.822782	2.088793	2.113474
10.464000	0.170513	word	the	14	1	14	1	0	16.960000	15.080000	12.880000	0.170513	0.000000	1.551038	1.617728	4.756523
10.588000	0.433162	word	bank	15	1	15	1	1	12.880000	16.960000	16.190000	0.433162	0.000000	0.824340	0.834124	3.912380
10.974000	0.168883	word	and	16	1	16	1	0	16.190000	12.880000	16.210000	0.168883	0.000000	3.148749	2.808465	8.766531
11.098000	0.171485	word	of	17	1	17	1	0	16.210000	16.190000	12.030000	0.171485	0.000000	3.817726	4.385983	2.523327
11.224000	0.447318	word	having	18	1	18	1	1	12.030000	16.210000	11.990000	0.447318	0.000000	3.586420	5.111372	3.862724
11.624000	0.500966	word	nothing	19	1	19	1	1	11.990000	12.030000	16.350000	0.500966	0.000000	4.642029	4.075084	3.827824
12.080000	0.206693	word	to	20	1	20	1	0	16.350000	11.990000	14.120000	0.206693	0.000000	5.451483	4.696513	3.220382
12.240000	0.388164	word	do	21	1	21	1	1	14.120000	16.350000	12.150000	0.388164	0.000000	0.661957	0.747471	2.219616
13.336000	0.278431	word	once	22	2	1	1	1	12.150000	14.120000	14.780000	0.278431	0.000000	4.259243	4.340029	4.013906
13.570000	0.165314	word	or	23	2	2	1	0	14.780000	12.150000	10.740000	0.165314	0.000000	4.415241	4.103663	8.339421
13.688000	0.504425	word	twice	24	2	3	1	1	10.740000	14.780000	13.100000	0.504425	0.000000	1.875913	3.579937	3.510604
14.146000	0.349300	word	she	25	2	4	1	0	13.100000	10.740000	13.530000	0.349300	0.000000	2.205315	3.360415	1.687010
14.450000	0.343551	word	peeped	27	2	5	1	1	6.480000	13.530000	13.240000	0.343551	0.000000	3.654885	3.855039	3.989716
14.750000	0.261510	word	into	28	2	6	1	0	13.240000	6.480000	16.960000	0.261510	0.000000	1.938249	2.231433	4.304196
14.966000	0.153755	word	the	29	2	7	1	0	16.960000	13.240000	12.160000	0.153755	0.000000	1.393761	1.179505	3.883794
15.072000	0.393211	word	book	30	2	8	1	1	12.160000	16.960000	13.300000	0.393211	0.000000	0.824340	0.826050	4.402728
15.420000	0.129809	word	her	31	2	9	1	0	13.300000	12.160000	9.750000	0.129809	0.000000	8.422284	7.757932	7.681337
15.504000	0.441102	word	sister	32	2	10	1	1	9.750000	13.300000	14.560000	0.441102	0.000000	0.416480	0.497411	3.417530
15.898000	0.297429	word	was	33	2	11	1	0	14.560000	9.750000	11.540000	0.297429	0.000000	3.237820	2.986597	1.919236
16.150000	0.500966	word	reading	34	2	12	1	1	11.540000	14.560000	14.570000	0.500966	0.000000	3.645285	3.793898	4.676619
17.000000	0.161518	word	but	35	2	13	1	0	14.570000	11.540000	15.370000	0.161518	0.000000	4.181344	4.644046	8.917348
17.116000	0.134019	word	it	36	2	14	1	0	15.370000	14.570000	13.530000	0.134019	0.000000	3.043345	2.359865	1.709410
17.204000	0.321374	word	had	37	2	15	1	0	13.530000	15.370000	13.960000	0.321374	0.000000	0.980686	1.766234	1.468346
17.480000	0.177701	word	no	38	2	16	1	0	13.960000	13.530000	10.460000	0.177701	0.000000	2.991921	2.675752	4.306048
17.612000	0.552408	word	pictures	39	2	17	1	1	10.460000	13.960000	14.780000	0.552408	0.000000	5.255191	4.479636	5.430815
18.118000	0.151003	word	or	40	2	18	1	0	14.780000	10.460000	8.440000	0.151003	0.000000	3.658539	3.265280	8.659312
18.222000	0.895471	word	conversations	41	2	19	1	1	8.440000	14.780000	15.900000	0.895471	0.000000	1.987503	5.864180	5.079724
19.072000	0.176559	word	in	42	2	20	1	0	15.900000	8.440000	15.370000	0.176559	0.000000	2.323373	2.711737	2.196947
19.202000	0.247256	word	it	43	2	21	1	0	15.370000	15.900000	16.190000	0.247256	0.000000	2.230924	2.019348	1.684899
19.966000	0.212255	word	and	44	2	22	1	0	16.190000	15.370000	14.100000	0.212255	0.000000	3.973425	4.785309	8.738637
20.132000	0.212777	word	what	45	2	23	1	0	14.100000	16.190000	15.680000	0.212777	0.000000	7.307112	6.171358	4.561623
20.300000	0.162148	word	s	46	2	24	1	0	15.680000	14.100000	16.960000	0.162148	0.000000	0.779052	4.874016	3.825143
20.416000	0.226160	word	the	47	2	25	1	0	16.960000	15.680000	13.430000	0.226160	0.000000	1.955639	2.458620	4.111168
20.596000	0.365519	word	use	48	2	26	1	1	13.430000	16.960000	16.210000	0.365519	0.000000	0.941321	1.202240	3.651082
20.916000	0.141782	word	of	49	2	27	1	0	16.210000	13.430000	16.180000	0.141782	0.000000	1.877723	2.010192	2.155842
